INDUSTRIA,DESCRIPCIÓN DE INDUSTRIA,TEMA,PARÁMETRO DE CONTABILIDAD,CATEGORÍA,UNIDAD DE MEDIDA,CÓDIGO
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Efectos en la biodiversidad,"Número y volumen agregado de los vertidos de hidrocarburos, volumen en el Ártico, volumen que impacte sobre los litorales que tengan un índice de sensibilidad medioambiental (ISMA) de 8 a 10, y volumen recuperado",Cuantitativo,"Número, barriles (bbls)",EM-EP-160a.2
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less","Seguridad, derechos humanos y derechos de los pueblos indígenas","Porcentaje de reservas (1) comprobadas y (2) probables en sitios con estado de conservación protegido o hábitats de especies en peligro de extinción, o cerca de ellos",Cuantitativo,Porcentaje (%),EM-EP-160a.3
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less","Seguridad, derechos humanos y derechos de los pueblos indígenas",Porcentaje de (1) reservas comprobadas y (2) probables en zonas de conflicto o cerca de ellas,Cuantitativo,Porcentaje (%),EM-EP-210a.1
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less","Seguridad, derechos humanos y derechos de los pueblos indígenas",Porcentaje de reservas (1) comprobadas y (2) probables en territorios indígenas o cerca de ellos,Cuantitativo,Porcentaje (%),EM-EP-210a.2
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less","Seguridad, derechos humanos y derechos de los pueblos indígenas","Análisis de los procesos de participación y las prácticas de diligencia debida con respecto a los derechos humanos, los derechos de los indígenas y las operaciones en zonas de conflicto",Debate y análisis,n/a,EM-EP-210a.3
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Relaciones con la comunidad,Análisis del proceso de gestión de los riesgos y oportunidades relacionados con los derechos e intereses de la comunidad,Debate y análisis,n/a,EM-EP-210b.1
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Relaciones con la comunidad,Número y duración de los retrasos no técnicos,Cuantitativo,"Número, días",EM-EP-210b.2
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Salud y seguridad de la fuerza laboral,"(1) Tasa total de incidentes registrables (TRIR), (2) tasa de mortalidad, (3) tasa de frecuencia de cuasi accidentes (NMFR), y (4) promedio de horas de formación en materia de salud, seguridad y respuesta ante las situaciones de emergencia de los (a) empleados a tiempo completo, (b) empleados contratados y (c) empleados de corta duración",Cuantitativo,"Velocidad, horas (h)",EM-EP-320a.1
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Salud y seguridad de la fuerza laboral,Análisis de los sistemas de gestión utilizados para integrar una cultura de seguridad a lo largo del ciclo de vida de la exploración y la producción,Debate y análisis,n/a,EM-EP-320a.2
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Valoración de las reservas e inversiones de capital,Sensibilidad de los niveles de reserva de hidrocarburos a los escenarios de proyección de precios futuros que dan cuenta del precio de las emisiones de dióxido de carbono,Cuantitativo,"Millones de barriles (MMbbls), millones de pies cúbicos estándar (MMscf)",EM-EP-420a.1
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Valoración de las reservas e inversiones de capital,Estimación de las emisiones de dióxido de carbono integradas en las reservas de hidrocarburos comprobadas,Cuantitativo,Toneladas métricas (t) de CO₂-e,EM-EP-420a.2
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Ética empresarial y transparencia,"Cantidad invertida en energías renovables, ingresos generados por la venta de energías renovables",Cuantitativo,Divisa para comunicar,EM-EP-420a.3
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Ética empresarial y transparencia,"Análisis de cómo el precio y la demanda de hidrocarburos o la regulación climática influyen en la estrategia de inversiones de capital para la exploración, adquisición y desarrollo de activos",Debate y análisis,n/a,EM-EP-420a.4
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Ética empresarial y transparencia,Porcentaje de (1) reservas probadas y (2) probables en los países que ocupan los 20 puestos más bajos del Índice de Percepción de la Corrupción publicado por Transparencia Internacional,Cuantitativo,Porcentaje (%),EM-EP-510a.1
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Ética empresarial y transparencia,Descripción del sistema de gestión para la prevención de la corrupción y el soborno en toda la cadena de valor,Debate y análisis,n/a,EM-EP-510a.2
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Gestión del entorno jurídico y reglamentario,Análisis de las posturas corporativas relacionadas con los reglamentos gubernamentales o propuestas de políticas que aborden los factores ambientales y sociales que afectan al sector,Debate y análisis,n/a,EM-EP-530a.1
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Gestión del riesgo de incidentes críticos,Índices de eventos de seguridad de procesos (PSE) para la pérdida de contención primaria (LOPC) de mayor consecuencia (nivel 1),Cuantitativo,Velocidad,EM-EP-540a.1
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Gestión del riesgo de incidentes críticos,Descripción de los sistemas de gestión utilizados para identificar y mitigar los riesgos catastróficos y finales,Debate y análisis,n/a,EM-EP-540a.2
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less","Producción de: (1) petróleo, (2) gas natural, (3) petróleo sintético y (4) gas sintético","Producción de: (1) petróleo, (2) gas natural, (3) petróleo sintético y (4) gas sintético",Cuantitativo,Miles de barriles por día (Mbbl/día); millones de pies cúbicos estándar por día (MMscf/día),EM-EP-000.A
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Número de instalaciones marítimas,Número de instalaciones marítimas,Cuantitativo,Número,EM-EP-000.B
Petróleo y gas – Exploración y producción,"Exploración y producción Las compañías de (E&P) exploran, extraen o procesan productos energéticos como el petróleo crudo y el gas natural, que abarcan las operaciones de aprovisionamiento («upstream») de la cadena de valor del petróleo y el gas. Las compañías del sector crean reservas de petróleo y gas tanto convencionales como no convencionales; estas incluyen, entre otras, las reservas de petróleo o gas de esquisto, las arenas petrolíferas y los hidratos de gas. Las actividades tratadas en la presente norma incluyen la creación de reservas tanto en tierra firme como en altamar. El sector de la E&P celebra contratos con el sector servicios de petróleo y gas para llevar a cabo varias actividades de E&P y para obtener la maquinaria y los servicios de yacimientos petrolíferos. Less",Número de instalaciones terrestres,Número de instalaciones terrestres,Cuantitativo,Número,EM-EP-000.C
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less",Emisión de gases de efecto invernadero,"Emisiones mundiales brutas de alcance 1, porcentaje de metano, porcentaje cubierto por las regulaciones de limitación de las emisiones",Cuantitativo,"Toneladas métricas (t) de CO₂-e, porcentaje (%)",EM-MD-110a.1
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less",Emisión de gases de efecto invernadero,"Análisis de la estrategia o plan a largo y corto plazo para gestionar las emisiones de alcance 1, objetivos de reducción de emisiones y análisis de los resultados en relación con esos objetivos",Debate y análisis,n/a,EM-MD-110a.2
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less",Calidad del aire,"Emisiones atmosféricas de los siguientes contaminantes: (1) NOₓ (excluyendo N₂O), (2) SOₓ, (3) compuestos orgánicos volátiles (COV) y (4) partículas (PM₁₀)",Cuantitativo,Toneladas métricas (t),EM-MD-120a.1
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less",Impactos ecológicos,Descripción de las políticas y prácticas de gestión ambiental para las operaciones activas,Debate y análisis,n/a,EM-MD-160a.1
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less",Impactos ecológicos,"Porcentaje de tierras en propiedad, arrendadas o explotadas dentro de zonas con estado de conservación protegido o hábitats de especies en peligro de extinción",Cuantitativo,Porcentaje (%) por superficie,EM-MD-160a.2
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less",Impactos ecológicos,"Superficie de terreno alterado, porcentaje de área afectada recuperada",Cuantitativo,"Acres (ac), porcentaje (%)",EM-MD-160a.3
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less",Impactos ecológicos,"Número y volumen agregado de los derrames de hidrocarburos, volumen en el ártico, volumen en áreas inusualmente sensibles (AIS) y volumen recuperado",Cuantitativo,"Número, barriles (bbls)",EM-MD-160a.4
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less",Comportamiento competitivo,Importe total de las pérdidas monetarias derivadas de los procedimientos judiciales asociados a las regulaciones federales de oleoductos y almacenamiento²,Cuantitativo,Divisa para comunicar,EM-MD-520a.1
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less","Seguridad operativa, preparación y respuesta ante emergencias","Número de incidentes notificables en oleoducto, porcentaje significativo",Cuantitativo,"Número, porcentaje (%)",EM-MD-540a.1
Petróleo y gas – Midstream,"La industria del petróleo y el gas - Midstream consiste en empresas que se dedican al transporte o el almacenamiento de gas natural, petróleo crudo y productos petrolíferos refinados. Las actividades de midstream (actividades intermedias) de gas natural implican la recolección, el transporte y el procesamiento de gas natural desde la boca del pozo, así como la eliminación de impurezas, la producción de líquidos de gas natural, el almacenamiento, el transporte por gasoducto y el transporte por otros medios, licuación o regasificación de gas natural licuado. Las actividades petrolíferas del midstream (actividades intermedias) implican principalmente el transporte de petróleo crudo y productos refinados por tierra, utilizando una red de tuberías y estaciones de bombeo, así como camiones y vagones de ferrocarril, y por mar y ríos mediante buques cisterna o barcazas. También forman parte de esta industria las empresas que explotan estaciones y terminales de carga a granel, así como las que fabrican e instalan tanques de almacenamiento y tuberías. Less","Seguridad operativa, preparación y respuesta ante emergencias",Porcentaje de tuberías de (1) gas natural y (2) líquidos peligrosos inspeccionadas,Cuantitativo,Porcentaje (%),EM-MD-540a.2
